name,April,February,January,June,March,May
Jonathan Stephens,0,1,2,0,1,1
Jonathan Tapia,1,1,1,1,2,0
Jonathan Thompson,0,1,0,1,0,0
Jonathan Wallace,0,1,3,2,2,3
Jonathan Williams,1,3,1,3,2,1
Jonathon Gallagher,1,2,0,2,0,3
Jordan Anderson,1,2,2,1,1,0
Jordan Andrews,3,1,1,2,2,1
Jordan Arnold PhD,1,2,3,1,0,2
Jordan Black,2,3,2,0,1,0
Jordan Bryan,2,2,0,3,3,0
Jordan Hartman,3,2,2,3,2,1
Jordan Hernandez,1,3,2,3,0,1
Jordan Holmes,0,1,3,1,0,0
Jordan Johnson,2,3,2,3,2,1
Jordan Lee,1,0,1,3,0,1
Jordan Liu,2,3,2,2,3,2
Jordan Lutz,1,2,1,0,0,0
Jordan Martinez,0,3,0,1,0,1
Jordan May,3,2,3,2,2,0
Jordan Mckinney,3,2,0,3,1,3
Jordan Miller,2,1,1,1,1,0
Jordan Moreno,3,2,0,0,1,1
Jordan Powell,3,2,1,2,3,2
Jordan Russell,2,0,2,2,3,1
Jordan Stark,3,0,2,1,1,3
Jordan Stephens,0,2,3,0,1,0
Jordan Stewart,2,0,3,0,1,1
Jordan Thornton,3,3,3,3,2,0
Jordan Vaughan,0,1,3,1,2,3
Jordan Walker,2,2,2,3,2,1
Jordan Williams,2,4,1,4,1,1
Jordan Zavala,1,0,3,1,1,2
Jorge Benson,2,3,2,0,3,1
Jorge Evans,3,0,3,3,2,3
Jorge Skinner,1,3,3,3,0,1
Jose Anderson,1,3,0,3,0,0
Jose Ayers,0,1,2,1,3,1
Jose Bishop,1,0,0,1,1,2
Jose Carlson DVM,1,3,2,3,3,2
Jose Cruz,1,3,0,1,0,2
Jose Giles,2,0,3,3,1,3
Jose Gordon,3,3,3,3,1,3
Jose Henson,0,3,1,0,1,1
Jose Johnson,3,0,1,2,1,1
Jose Kelly,0,2,2,1,0,1
Jose Little,1,1,1,1,1,0
Jose Lutz,3,0,2,2,2,0
Jose Manning,0,2,1,2,3,0
Jose Martin,3,1,0,2,1,2
Jose Miller,4,5,2,1,4,3
Jose Nelson,0,3,3,1,0,3
Jose Perez,3,3,2,2,3,2
Jose Phillips,1,2,1,3,0,0
Jose Ramirez,2,0,2,0,0,3
Jose Rodriguez,0,1,0,3,2,3
Jose Spencer,2,0,2,3,0,2
Jose Thomas,1,3,2,3,2,2
Jose Tyler,3,2,1,3,1,1
Jose Wilson,3,1,3,1,3,2
Joseph Alexander,3,3,1,2,1,2
Joseph Baker,3,3,0,3,1,0
Joseph Ball,1,1,0,3,0,1
Joseph Benjamin,0,3,0,1,1,0
Joseph Bolton,0,2,1,0,1,3
Joseph Burns,2,2,2,0,1,1
Joseph Burton,1,0,1,0,2,0
Joseph Campbell,1,1,1,0,2,3
Joseph Carroll,3,1,2,1,2,1
Joseph Cole,2,3,1,0,2,3
Joseph Collins,1,2,1,3,0,0
Joseph Colon,0,2,3,1,2,1
Joseph Cooper,2,0,1,2,3,1
Joseph Cordova,1,2,3,3,1,1
Joseph Davis,0,2,3,0,0,2
Joseph Doyle,0,1,2,2,1,2
Joseph Edwards,3,2,1,3,1,2
Joseph Fernandez,0,3,0,0,0,0
Joseph Fisher,2,1,2,3,2,2
Joseph Garza,1,1,1,2,1,2
Joseph Gibbs,2,1,2,2,0,1
Joseph Gomez,1,0,3,3,2,1
Joseph Gonzalez,0,3,0,2,0,3
Joseph Green,0,1,0,3,0,3
Joseph Greene Jr.,1,1,1,2,2,3
Joseph Harris,2,3,1,3,0,0
Joseph Harrison,0,0,2,1,1,0
Joseph Hess,0,2,2,0,0,2
Joseph Hester,2,0,0,1,2,1
Joseph Howard,3,1,1,1,2,2
Joseph James,3,3,1,3,0,0
Joseph Jones,3,3,4,4,2,4
Joseph Jordan,1,0,3,2,3,0
Joseph Joseph,1,3,2,1,2,1
Joseph Kline,3,1,2,2,3,0
Joseph Koch,0,2,0,1,2,0
Joseph Lawson,0,0,2,3,2,1
Joseph Lee,3,0,1,2,3,2
Joseph Leonard,1,0,2,3,0,2
Joseph Lopez,2,1,0,0,1,0
Joseph Luna,1,1,0,3,3,0
Joseph Martin,4,8,6,3,5,5
Joseph May,3,3,3,2,0,2
Joseph Mayo,2,2,2,3,3,1
Joseph Mcneil,0,0,0,0,0,3
Joseph Meyer,2,1,2,0,3,3
Joseph Michael,1,3,3,2,0,0
Joseph Miller,2,0,0,2,0,2
Joseph Morris,1,2,0,2,1,1
Joseph Morton,3,3,1,3,2,2
Joseph Obrien,2,3,1,3,2,0
Joseph Parker,3,1,0,1,2,0
Joseph Perez,3,3,1,3,2,3
Joseph Price,1,1,3,0,2,0
Joseph Ramos,2,3,1,1,1,3
Joseph Reed,0,0,1,1,2,2
Joseph Rivera,2,1,0,3,1,1
Joseph Roberts,3,1,2,2,1,2
Joseph Salas,2,0,3,2,3,2
Joseph Shepard,3,1,0,2,2,2
Joseph Silva Jr.,3,2,3,1,1,3
Joseph Simmons,2,3,3,2,3,2
Joseph Smith,3,3,2,2,3,0
Joseph Snow,1,1,2,2,1,0
Joseph Snyder,0,0,3,2,0,3
Joseph Stewart,3,1,3,1,1,1
Joseph Stone,2,2,2,1,2,1
Joseph Travis,2,0,0,0,2,1
Joseph Vincent,0,3,2,0,0,0
Joseph Wallace MD,1,0,3,2,2,3
Joseph Wang,3,3,3,0,3,3
Joseph Wheeler,1,0,2,3,2,2
Joseph White,1,3,2,3,1,2
Joseph Wilson,2,0,1,0,0,3
Joseph Wright,2,1,0,1,0,1
Joshua Anderson,4,4,0,0,3,6
Joshua Andrews,0,3,2,1,2,0
Joshua Bell,3,3,3,2,0,1
Joshua Brooks,2,3,1,1,1,0
Joshua Brown,3,1,0,2,3,1
Joshua Burgess,4,5,3,2,1,3
Joshua Burton,1,2,1,2,3,1
Joshua Collins MD,0,1,2,1,2,3
Joshua Cook,3,2,2,0,1,2
Joshua Cox,1,2,1,3,2,3
Joshua Crawford,0,0,2,2,3,3
Joshua Daniels,0,1,3,0,0,1
Joshua Davidson,2,3,2,2,2,0
Joshua Davis,1,3,3,3,2,2
Joshua Diaz,0,3,1,3,2,0
Joshua Ellis,6,4,2,6,3,5
Joshua Esparza,2,0,3,1,0,0
Joshua Estes,0,1,1,1,3,2
Joshua Gamble,2,0,0,3,2,3
Joshua Garrett,0,3,1,3,3,1
Joshua Garrison,2,3,2,1,2,1
Joshua Hammond,2,3,1,1,2,3
Joshua Hardy,2,3,0,1,2,3
Joshua Hart,1,0,1,2,3,2
Joshua Henderson,3,2,1,2,1,1
Joshua Hernandez,3,0,0,3,3,2
Joshua Higgins,3,0,3,3,1,0
Joshua Hill,4,4,3,5,2,5
Joshua Holden,0,3,0,1,0,2
Joshua Howard,1,3,2,0,2,1
Joshua Johnson,3,1,0,2,2,2
Joshua Jones,0,0,2,2,2,0
Joshua Keller,3,0,0,0,0,1
Joshua Kim,2,1,3,0,0,1
Joshua Lane,1,1,2,3,1,3
Joshua Lee,3,1,3,0,3,2
Joshua Lopez,4,0,7,8,6,4
Joshua Mcbride,0,1,2,0,2,3
Joshua Mccarthy,0,2,1,0,0,3
Joshua Mccoy,3,3,1,0,0,0
Joshua Medina,3,2,2,3,2,3
Joshua Mercado,0,0,0,0,3,1
Joshua Miller,1,0,0,0,3,1
Joshua Moore,2,3,3,2,3,0
Joshua Morris,1,1,1,2,2,3
Joshua Nguyen,3,3,0,1,2,1
Joshua Nichols,0,3,3,2,2,0
Joshua Obrien,0,0,1,0,0,2
Joshua Ochoa,3,2,0,0,1,1
Joshua Padilla,3,2,1,0,3,3
Joshua Parker,0,0,2,2,0,1
Joshua Patterson,3,3,1,0,0,1
Joshua Payne,0,3,3,0,3,2
Joshua Perez,1,2,0,0,1,0
Joshua Perkins,1,3,3,3,3,2
Joshua Perry,1,1,0,3,0,0
Joshua Peters,2,1,3,3,2,3
Joshua Pollard,2,1,2,1,2,0
Joshua Reyes,3,3,0,2,3,3
Joshua Rivera,1,2,1,0,3,0
Joshua Robertson,2,1,2,0,2,2
Joshua Rogers,2,1,3,3,3,2
Joshua Schaefer,3,2,1,2,1,0
Joshua Stout,1,2,3,3,1,3
Joshua Sullivan,2,1,1,1,1,3
Joshua Terry,0,0,1,2,3,3
Joshua Vasquez,0,1,3,0,0,1
Joshua Walsh,1,3,2,2,2,0
Joshua Webb,2,2,2,3,1,1
Joshua Whitaker,2,1,1,3,2,2
Joshua White,2,3,1,2,3,3
Joshua Wilkins,1,2,2,3,1,2
Joshua Williams,2,1,3,2,5,1
Joshua Wright,3,1,1,3,1,0
Joshua Young,0,1,3,2,1,1
Joy Calderon,2,2,0,3,0,0
Joy Glenn,2,2,2,0,3,0
Joy Gonzales,2,0,0,2,1,1
Joy Torres,3,3,1,3,3,0
Joyce Conway,3,0,1,1,1,3
Joyce Harrington,1,3,0,1,3,1
Joyce Hughes,1,2,3,3,3,1
Joyce Peterson,0,2,2,2,3,0
Joyce Proctor,3,0,2,0,1,1
Juan Brown,2,3,1,3,0,3
Juan Galvan,2,3,2,1,3,2
Juan Harris,1,3,1,0,2,0
Juan Hughes,2,2,3,0,2,0
Juan Jones,3,0,0,2,0,2
Juan Munoz,3,1,1,3,1,1
Juan Santos,2,0,3,2,1,1
Juan Sullivan,2,3,0,3,2,3
Juan Ward,0,2,2,1,0,1
Juan Williams,0,0,3,1,1,0
Juan Wise,1,3,2,1,0,3
Judith Parks,0,2,1,2,0,0
Judith Vargas,1,3,3,1,3,3
Judy Barnett,3,2,2,1,0,3
Judy Bird,0,2,1,0,1,2
Judy Frye,2,1,1,3,2,0
Judy Stanley,3,1,1,0,3,0
Julia Bonilla,3,2,1,3,1,2
Julia Brown,1,2,1,2,2,0
Julia Dillon,2,3,3,1,0,1
Julia Fletcher,0,2,0,1,0,0
Julia Foster,0,2,3,1,3,1
Julia Johnson,0,1,2,0,2,0
Julia Mosley,1,1,2,2,0,3
Julia Ochoa,0,1,0,1,0,0
Julian Atkinson,3,0,2,2,3,3
Julian Brown,3,2,2,2,1,3
Julian Sullivan,3,1,3,3,2,1
Julie Baker,1,2,0,0,3,1
Julie Ball,1,3,2,2,0,3
Julie Brown,6,2,3,5,4,3
Julie Buckley,1,2,1,3,0,0
Julie Cole,0,2,0,1,0,1
Julie Dixon,0,3,2,0,3,1
Julie Duncan,3,1,1,1,0,0
Julie Fuller,2,0,1,1,3,3
Julie Hamilton,1,3,2,3,3,0
Julie Hunter,3,0,1,1,1,0
Julie James,3,2,0,2,2,1
Julie Johnson,3,3,0,0,2,1
Julie Jones,0,2,3,0,2,2
Julie Lam,1,3,2,2,2,1
Julie Lewis,2,2,2,2,3,2
Julie Maddox,3,1,2,2,1,1
Julie Mitchell,0,2,1,1,2,3
Julie Moore,1,2,2,0,2,0
Julie Morgan,0,3,2,3,1,1
Julie Murray,3,0,1,3,0,0
Julie Nolan,3,3,2,3,1,3
Julie Oconnor,3,3,3,1,0,2
Julie Payne,3,1,0,2,1,0
Julie Poole,0,3,0,0,3,2
Julie Ray,1,0,3,1,0,1
Julie Rodriguez,1,1,1,2,2,2
Julie Sanchez,3,0,3,0,3,1
Julie Smith,0,2,0,1,0,0
Julie Stephens,3,3,3,3,1,1
Julie Thomas,3,2,1,1,1,0
Julie Watson,0,2,0,2,2,1
Julie Weaver,0,0,0,1,1,1
Julie White,1,1,1,0,0,2
Julie Williams,4,5,3,4,3,6
Justin Adams,3,3,0,3,0,1
Justin Anderson,2,1,1,0,0,3
Justin Beck,1,2,2,1,2,2
Justin Black,0,2,1,2,1,0
Justin Blankenship,2,1,0,1,1,0
Justin Bowman,1,0,3,1,2,3
Justin Brown,1,2,1,1,1,1
Justin Bryan,2,3,2,3,3,1
Justin Campbell,1,1,3,0,1,2
Justin Campos DDS,3,2,3,3,1,0
Justin Casey,1,3,0,0,0,3
Justin Day,2,0,2,0,2,3
Justin Evans,2,1,1,1,3,0
Justin Everett,0,2,0,0,3,1
Justin Farmer,1,0,0,3,0,0
Justin Forbes,0,1,3,1,1,1
Justin Franklin,0,3,1,2,1,3
Justin Garcia,0,2,2,1,2,0
Justin Garner,2,0,3,0,0,1
Justin Gilmore,0,2,3,0,1,2
Justin Gonzalez MD,2,0,1,3,2,3
Justin Guerrero,0,1,1,1,2,1
Justin Hale,2,0,0,2,0,1
Justin Harris,5,6,5,8,4,5
Justin Hernandez,4,4,5,5,3,4
Justin Herring,0,3,1,1,1,3
Justin Hill,2,0,2,3,2,2
Justin Hudson,2,2,0,1,0,3
Justin Jimenez,1,1,0,0,3,1
Justin Lang,0,2,0,3,0,3
Justin Lewis,2,1,3,0,0,2
Justin Livingston,0,1,2,0,2,2
Justin Mckee,3,3,2,0,1,2
Justin Middleton,2,3,0,2,1,2
Justin Miller,2,3,2,2,2,0
Justin Moore,3,1,3,2,1,2
Justin Mora MD,0,2,0,1,3,2
Justin Navarro,0,1,0,3,3,0
Justin Parker,3,3,2,3,3,3
Justin Porter,2,2,3,0,3,3
Justin Price,0,0,3,3,3,0
Justin Prince,1,1,1,0,2,1
Justin Rios,2,2,3,2,3,0
Justin Robinson,3,2,3,3,2,3
Justin Ruiz,3,3,0,1,0,2
Justin Sanchez,1,1,1,1,1,0
Justin Sanders,0,1,0,2,0,1
Justin Scott,3,0,3,1,1,2
Justin Short,3,3,3,2,1,2
Justin Smith,5,5,3,4,3,5
Justin Sweeney,3,2,0,0,2,1
Justin Villanueva,2,2,1,1,2,2
Justin Wallace,1,2,2,3,0,1
Justin Wheeler,3,2,3,3,0,2
Justin Williams,3,2,3,2,2,3
Justin Wilson,4,3,3,5,1,3
Kaitlin Jackson,0,2,0,3,2,3
Kaitlin Ramirez,3,0,0,3,1,2
Kaitlin Smith,0,2,1,3,0,0
Kaitlyn Anderson,3,3,1,0,0,1
Kaitlyn Brown,3,1,2,1,1,1
Kaitlyn Holland,3,3,2,2,3,2
Kaitlyn Lee,2,1,1,2,3,1
Kaitlyn Martinez,0,2,0,1,0,0
Kaitlyn Smith,0,0,3,0,3,2
Kaitlyn Taylor,0,1,0,2,0,0
Kara Brown,2,2,3,0,2,0
Kara Campos,2,1,2,0,3,1
Kara Chase,3,2,3,2,3,2
Kara Chavez,1,3,0,0,3,0
Kara Matthews,2,2,1,2,3,1
Kara Perez,2,3,2,2,3,3
Kara Rodriguez,1,0,2,2,1,2
Kara West,0,1,0,2,3,0
Karen Brown,2,1,0,3,1,0
Karen Brown DDS,1,1,0,0,1,2
Karen Carroll,0,1,2,2,0,2
Karen Cervantes,1,2,1,1,3,3
Karen Clark,3,3,1,0,0,0
Karen Cobb,1,1,1,3,2,1
Karen Cochran,3,2,2,2,3,2
Karen Coleman,0,2,3,3,0,2
Karen Cox,3,3,0,2,3,0
Karen Davies,0,3,2,2,3,2
Karen Davis,0,3,0,1,0,3
Karen Diaz,1,3,0,1,2,1
Karen Durham,2,0,1,2,3,2
Karen Ellis,0,1,3,2,1,1
Karen Flores,1,3,1,1,1,3
Karen Ford,2,0,3,2,0,2
Karen Fox,0,2,2,1,1,3
Karen Frederick,2,2,2,2,1,3
Karen Fuentes,2,3,1,3,1,3
Karen Garcia,0,3,3,2,0,1
Karen Gray,0,0,2,0,1,2
Karen Greene,2,2,1,0,3,3
Karen Griffin,2,2,1,0,0,0
Karen Hunter,2,2,3,1,0,1
Karen Jackson,2,2,1,1,0,0
Karen Jacobs,0,0,2,3,3,3
Karen Jenkins,2,2,3,2,2,1
Karen Jimenez,1,3,1,2,1,2
Karen Jordan,0,0,2,2,0,2
Karen Kennedy DVM,0,2,0,1,0,3
Karen Leach,0,1,3,3,2,2
Karen Lee,1,3,0,1,3,1
Karen Lucero,3,0,2,2,2,1
Karen Lynch,2,2,1,1,0,2
Karen Mcdonald,3,2,1,3,2,1
Karen Miller,2,0,2,1,0,2
Karen Murphy,1,3,2,2,0,2
Karen Nichols,3,1,3,3,1,2
Karen Owens,0,1,1,3,2,0
Karen Patterson,1,2,0,0,3,0
Karen Peters,3,3,2,0,1,0
Karen Pineda,3,3,0,2,3,3
Karen Pitts,3,3,3,0,1,3
Karen Ramos,0,0,2,1,3,0
Karen Reilly,0,0,3,1,0,1
Karen Rice,2,0,2,1,1,1
Karen Richmond,1,3,0,1,0,3
Karen Rivas,3,3,0,1,0,1
Karen Rojas,1,1,3,1,0,1
Karen Sandoval,1,0,3,0,2,2
Karen Santana,1,3,0,2,3,1
Karen Smith,2,0,3,0,0,2
Karen Stout,1,3,2,1,1,3
Karen Strong,2,0,3,1,1,0
Karen Taylor,2,1,0,2,2,3
Karen Thompson,1,3,0,3,3,1
Karen Vega,1,1,2,2,1,2
Karen Ward,3,2,3,1,2,3
Karen Watts,3,1,0,1,2,1
Karen Wilson,1,2,1,1,3,2
Kari Proctor,0,3,0,1,2,0
Karl Salazar,3,3,1,2,0,1
Karl Sanford,0,0,0,0,0,3
Karla Davis,2,2,3,2,3,1
Katelyn Dawson,1,3,2,2,3,0
Katelyn Estrada,2,1,1,2,3,0
Katelyn Jackson,2,3,3,3,0,2
Katelyn Martin,0,3,0,0,1,0
Katelyn Neal,2,1,3,2,0,1
Katelyn Parsons,0,3,3,0,0,2
Katelyn Thomas,3,0,1,1,3,1
Katherine Bell,1,3,0,0,0,1
Katherine Brown,3,1,0,0,0,2
Katherine Chandler,2,0,3,2,0,2
Katherine Davis,2,6,5,4,1,0
Katherine Garcia,0,0,3,3,3,2
Katherine Gardner,3,1,1,2,3,1
Katherine Harmon MD,0,2,3,2,1,2
Katherine Lewis,1,0,1,3,2,2
Katherine Lopez,1,2,3,3,1,0
Katherine Mccarthy,0,2,1,1,1,1
Katherine Morse,3,3,1,2,2,3
Katherine Nichols,1,3,1,2,2,0
Katherine Payne,1,3,3,2,1,3
Katherine Rodriguez,0,3,2,3,0,1
Katherine Scott,0,1,3,2,2,0
Katherine Smith,1,1,2,1,1,2
Katherine Stevens,0,1,0,2,1,2
Katherine Taylor,3,1,1,2,2,3
Katherine Walker,2,0,2,0,1,0
Katherine Watts,0,0,0,1,1,1
Katherine West,3,3,1,0,0,1
Katherine White,1,1,0,0,3,3
Kathleen Bishop,1,0,1,2,3,1
Kathleen Bryan,3,3,1,3,0,3
Kathleen Byrd,0,0,0,0,1,1
Kathleen Carr,3,1,3,0,2,2
Kathleen Clark,2,0,3,3,0,1
Kathleen Donaldson,3,1,1,1,0,3
Kathleen Fernandez,2,0,1,1,2,2
Kathleen French,2,2,2,1,1,1
Kathleen Hall,0,2,0,0,0,1
Kathleen Harris MD,2,3,1,2,2,3
Kathleen Herrera,1,2,3,1,2,1
Kathleen Jacobs,2,2,0,1,2,0
Kathleen Jones,1,3,1,1,0,0
Kathleen Kelly,1,1,1,0,1,1
Kathleen Lane,2,2,1,2,1,1
Kathleen Murphy,1,2,2,2,1,1
Kathleen Poole,3,0,1,1,3,1
Kathleen Rice,1,1,3,1,3,2
Kathleen Sanchez,0,2,2,0,1,1
Kathleen Stuart,0,2,1,1,2,0
Kathleen Thomas,1,3,2,0,3,1
Kathleen Wallace,3,2,3,3,0,2
Kathleen Walters,1,3,2,0,1,1
Kathleen Watson,1,0,2,3,1,1
Kathleen Watson MD,0,0,0,1,2,2
Kathleen Wilson,3,0,1,3,0,2
Kathryn Cameron,3,2,1,2,0,3
Kathryn Cisneros,1,2,2,2,1,0
Kathryn Cox,3,2,0,3,0,0
Kathryn David,1,2,3,3,1,1
Kathryn Dillon,1,1,3,1,1,3
Kathryn Hall,3,3,1,3,3,3
Kathryn Moore,3,2,2,0,0,3
Kathryn Salas,3,0,2,3,3,3
Kathryn Tran,3,0,0,0,0,1
Kathryn Young,2,3,0,0,3,3
Kathy Boone,1,2,0,3,1,2
Kathy Bryant,2,1,2,0,3,1
Kathy Callahan,0,1,3,2,0,1
Kathy Dixon,3,1,3,2,2,0
Kathy Gardner,2,1,1,1,0,1
Kathy Hess,3,3,3,2,0,0
Kathy Jones,3,1,1,0,0,2
Kathy Miller,2,1,0,1,3,0
Kathy Nelson,2,2,1,3,1,0
Kathy Parker,3,3,2,3,2,0
Kathy Reed,1,1,2,0,1,3
Kathy Robertson,2,0,3,3,0,2
Kathy Thompson,3,1,0,0,3,0
Katie Brown,2,3,0,3,2,3
Katie Cole,1,3,1,0,2,0
Katie Crawford,1,1,2,1,3,0
Katie Griffin,0,0,0,1,3,1
Katie Johnson,1,1,1,2,3,1
Katie Martinez,3,1,2,0,3,1
Katie Nguyen,3,1,2,2,2,1
Katie Nichols,1,3,1,3,2,2
Katie Obrien,0,1,0,0,3,3
Katie Smith,1,3,0,3,0,1
Katie Thornton,1,1,1,3,1,0
Katrina Branch,0,0,3,3,2,1
Katrina Collins,0,2,3,2,1,0
Katrina Crane,1,3,1,3,3,2
Katrina Edwards,2,2,0,1,2,1
Katrina Jackson,3,0,0,1,2,0
Katrina Johnson,1,0,0,3,0,3
Katrina Lloyd,3,1,2,1,2,2
Katrina Obrien,2,2,1,0,1,2
Katrina Saunders,0,1,1,3,1,1
Katrina Wang,3,2,3,1,2,1
Kayla Brooks,0,3,1,1,2,0
Kayla Day,0,3,1,0,1,2
Kayla Edwards,3,0,1,3,3,3
Kayla Fox,0,0,0,3,1,2
Kayla Harrison,1,0,2,1,1,0
Kayla Humphrey,1,1,2,2,1,0
Kayla Kane,3,0,0,0,3,3
Kayla Kelly,0,2,2,2,1,2
Kayla Krueger,0,0,3,0,3,3
Kayla Murphy,2,0,3,2,1,2
Kayla Newman,0,3,1,0,3,2
Kayla Padilla,2,3,3,0,3,0
Kayla Page,3,3,1,1,3,3
Kayla Price,3,0,2,3,2,3
Kayla Robinson,3,3,3,0,1,3
Kayla Smith,5,4,3,3,0,2
Kayla Spencer,0,3,3,0,3,0
Kayla Stein,3,1,2,1,2,0
Kayla Thompson,1,2,2,3,1,3
Kayla Vaughn,2,3,1,1,2,0
Kaylee Cox,3,2,0,3,2,1
Kaylee Smith,3,3,0,2,1,2
Keith Barr,3,3,2,1,1,0
Keith Coffey,3,1,1,0,1,3
Keith David,1,0,2,2,3,2
Keith Davis,4,5,3,2,3,6
Keith Edwards,0,2,0,3,0,2
Keith Esparza Jr.,1,3,2,2,0,1
Keith Frazier,1,3,2,3,1,0
Keith Gamble,2,1,1,2,0,1
Keith Garcia,1,1,3,1,1,1
Keith Gonzales,3,3,3,1,2,2
Keith Harris,3,3,3,1,0,2
Keith Johnson,1,4,2,3,3,5
Keith Mccoy,1,0,1,1,2,1
Keith Meyer,0,2,1,0,1,0
Keith Moore,0,0,1,3,3,2
Keith Short,3,1,3,2,1,3
Keith Townsend,0,1,1,1,2,1
Keith Wallace,0,3,1,0,1,0
Kelli Hernandez,2,1,0,2,1,1
Kelli Myers,2,1,1,0,0,1
Kelli Roberson,0,1,2,0,1,0
Kelli Sharp,0,2,2,1,2,1
Kelli Torres,0,0,1,1,1,2
Kellie Larson,1,3,3,3,1,2
Kellie Robinson,0,3,3,2,3,3
Kelly Adams,2,3,0,2,2,2
Kelly Andrews,1,2,2,0,0,0
Kelly Brown,1,0,1,0,1,1
Kelly Calderon,2,3,1,0,3,3
Kelly Campbell,2,3,3,0,0,3
Kelly Cooper,2,1,1,1,2,3
Kelly Crane,1,3,2,3,3,3
Kelly Davenport,3,0,3,2,0,2
Kelly Davis,1,2,0,0,0,2
Kelly Freeman,0,1,1,2,1,2
Kelly Gardner,2,0,3,1,2,3
Kelly Goodman,0,1,1,2,2,1
Kelly Gregory,1,1,1,3,1,3
Kelly Hernandez,3,0,0,1,3,1
Kelly Howard,2,1,0,1,0,3
Kelly Jimenez,3,3,3,1,3,1
Kelly King,1,0,3,1,1,3
Kelly Lee,1,0,3,1,3,3
Kelly Marshall,3,0,2,3,0,1
Kelly Mckinney,3,3,0,3,2,1
Kelly Moore,1,0,3,0,2,2
Kelly Moran,1,2,0,2,2,1
Kelly Myers,2,3,2,0,0,3
Kelly Perez,2,0,2,3,3,3
Kelly Pierce,1,1,3,1,0,2
Kelly Ramos,0,3,1,3,3,0
Kelly Sanford,3,0,2,2,2,3
Kelly Schwartz,1,2,1,3,2,2
Kelly Silva,3,2,2,1,3,1
Kelly Smith,0,5,3,3,2,2
Kelly Villarreal,3,1,3,3,3,1
Kelly White,5,3,1,6,3,3
Kelly Wilson,0,3,0,1,0,2
Kelly Wood,1,3,3,3,0,2
Kelly Wyatt,3,1,2,0,2,2
Kelsey Bennett,1,3,1,2,3,1
Kelsey Berg,2,3,3,1,1,1
Kelsey Garcia,2,1,3,0,3,3
Kelsey Hill,3,3,0,0,1,3
Kelsey Hunt,2,2,1,1,3,2
Kelsey Johnson,1,2,3,3,0,1
Kelsey Kemp,0,1,2,0,3,1
Kelsey Schmidt,0,1,2,3,3,1
Kelsey Schroeder,0,2,3,2,3,2
Kelsey Walker,0,1,0,1,2,0
Kelsey Williams,0,3,1,3,0,1
Kendra Avery,0,0,2,0,0,2
Kendra Ramos,3,2,0,1,1,1
Kendra Reed,0,3,3,1,3,0
Kendra Tate,1,0,1,1,0,2
Kenneth Alexander,3,2,2,3,2,1
Kenneth Anderson,2,2,2,2,3,2
Kenneth Benitez,1,0,3,0,3,2
Kenneth Berry,3,0,3,3,1,3
Kenneth Campbell,0,3,3,2,1,0
Kenneth Chapman,0,2,2,3,3,0
Kenneth Davidson,2,2,2,1,0,0
Kenneth Estes,0,1,0,1,3,3
Kenneth Evans,0,1,1,1,3,3
Kenneth Farley,3,0,1,0,0,0
Kenneth Harrison,1,3,2,3,1,2
Kenneth Hernandez,1,3,2,3,0,3
Kenneth Hill,4,4,4,2,3,3
Kenneth Huerta,3,2,2,1,1,3
Kenneth Jackson,1,2,1,3,2,2
Kenneth Kline,1,3,1,3,0,3
Kenneth Knox,1,3,0,1,0,0
Kenneth Martinez,3,1,0,3,1,3
Kenneth Mcdonald,2,0,3,2,3,2
Kenneth Phillips,1,1,3,3,0,2
Kenneth Pope,3,1,3,2,1,0
Kenneth Price,3,3,2,2,1,2
Kenneth Stephens,3,0,2,3,3,0
Kenneth Trujillo,3,1,1,0,1,0
Kenneth Wheeler,2,3,1,1,3,1
Kenneth Wilson,0,1,1,1,2,0
Kenneth Wu,1,2,0,1,0,3
Kerri Daniels,2,0,0,3,3,2
Kerry Hayes,2,0,1,0,1,3
Kerry Howard,0,2,0,1,2,2
Kevin Allen,1,0,0,1,2,1
Kevin Bowen,1,2,3,3,3,1
Kevin Brady Jr.,0,3,2,1,3,3
Kevin Bray,0,2,2,2,2,0
Kevin Brown,1,2,0,2,1,0
Kevin Case,1,1,3,1,0,2
Kevin Cook,0,2,1,2,0,2
Kevin Cunningham,1,0,0,0,0,0
Kevin Davidson,3,0,2,3,1,1
Kevin Davis,5,5,6,3,7,6
Kevin Dickerson DDS,0,3,3,0,0,1
Kevin English,0,1,2,1,1,3
Kevin Ford,3,2,0,3,0,2
Kevin Freeman,2,2,2,3,2,2
Kevin Garcia,3,1,0,0,1,0
Kevin Gentry,1,0,2,0,0,2
Kevin Goodwin,3,1,3,1,1,1
Kevin Goodwin DDS,1,1,3,1,1,0
Kevin Hamilton,2,0,1,1,1,0
Kevin Hicks,3,2,0,0,0,0
Kevin Hudson,1,2,0,2,2,2
Kevin Jenkins,1,0,3,1,2,3
Kevin Jones,1,2,3,3,1,2
Kevin Leonard,3,0,2,1,3,0
Kevin Levy,2,2,3,1,2,0
Kevin Lewis,2,1,0,3,0,3
Kevin Lopez,1,3,1,2,3,3
Kevin Mccarthy,3,2,0,3,1,0
Kevin Miller,3,1,2,0,3,2
Kevin Norton,0,3,3,2,2,2
Kevin Ramirez,2,3,1,0,0,0
Kevin Robinson,1,1,3,2,2,0
Kevin Rodriguez,3,0,0,3,3,2
Kevin Rogers,2,3,0,2,2,2
Kevin Sanford,0,2,2,0,3,3
Kevin Scott,3,3,1,2,1,2
