,,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
Kristen Palmer,ggarcia,500,22360,12392,8392,15647,0
Kristen Perry,michaelmiller,0,13789,17371,10592,11367,5346
Kristen Ramirez,gregorycarlson,15740,11088,0,6297,14580,22276
Kristen Shepherd,david34,26455,7066,9092,0,3490,13869
Kristen Simpson,douglasrowland,16734,5149,1898,11857,0,796
Kristen Smith,dianajohnson,19852,13568,3096,4946,0,0
Kristen Taylor,lisamartinez,10276,15994,14439,0,20554,6793
Kristi Harrington,josephmartin,5995,9093,13269,19120,9980,14703
Kristi Hurst,pcole,0,4299,10357,11047,3047,2748
Kristi Sherman,hbell,199,22902,150,8091,7095,11389
Kristie Alvarado,tonya02,300,19896,0,2998,0,11481
Kristie Bullock,karladonaldson,17386,0,6344,23485,0,0
Kristie Jones,ugreen,0,6000,10666,0,150,11196
Kristin Crosby,brianadams,0,18326,0,3450,0,0
Kristin Fowler,dritter,9080,6844,0,0,14658,0
Kristin Hays,walkerryan,13542,6745,12874,0,0,0
Kristin Henderson,kimstevens,24665,7960,4495,9166,2397,1400
Kristin Hicks,vgaines,0,3640,0,398,8326,4494
Kristin James,randymcmillan,0,799,13793,0,2150,0
Kristin Lewis,stephenhines,12666,5294,17740,3992,4397,3496
Kristin Powell,mary35,5248,0,10558,7748,0,6996
Kristin Ramirez,candice55,0,3398,6629,6796,3495,11867
Kristin Smith,imckinney,0,0,16100,11756,4779,0
Kristin Taylor,david61,5878,6420,3000,8696,8543,0
Kristin Williams,lrivas,5397,0,21810,6248,7396,0
Kristina Baker,michaelsmith,5429,3897,28117,21956,597,11887
Kristina Christensen,stephaniewilliams,7887,0,10240,0,11630,12100
Kristina Evans,james33,13957,0,13686,0,3290,13745
Kristina Morris,jeffreyjohnson,22415,6186,0,0,0,11825
Kristina Ortega,theresajennings,2596,2449,16942,13783,0,3196
Kristina Pollard,epeterson,7300,18847,799,0,6397,19064
Kristina Ramos,bhickman,6150,14573,597,13455,11719,0
Kristina Richardson,fordpaul,2547,10166,20166,0,14171,13606
Kristina Rowland,gjackson,0,16118,8470,11042,0,20436
Kristine Clark,wisejeffrey,0,7476,12894,0,8091,30293
Kristine Coffey,nicole88,0,0,3897,2397,25053,15698
Kristine Flowers,ritawagner,13058,0,1794,6696,3296,0
Kristine Holloway,thomasweiss,9548,5696,4189,11186,5794,2994
Kristine Hunter,chavezandrea,548,4393,2045,18078,29268,17550
Kristine Mitchell,maria37,0,8585,0,12478,9797,3095
Kristine Paul,banksbrian,15871,0,0,3196,16000,7174
Kristopher Davis,rodriguezerin,0,0,500,17794,6186,5098
Kristopher Valencia,andrea58,6485,0,13096,450,6000,19160
Kristy Bond,barbarahudson,6696,799,16192,398,0,0
Kristy Jones,robertreyes,14079,10110,1500,7683,8887,2300
Kristy Nguyen,michele74,9772,14951,0,2398,16772,2939
Kristy Olson,fquinn,14114,11156,0,0,17447,5786
Kristy Trevino,caitlin86,3490,10279,4696,9659,0,10729
Krystal Anderson,franciscocampbell,19944,5397,0,9316,1500,0
Krystal Eaton,adam67,3895,0,8044,1999,0,0
Krystal Green,callahanalexis,0,9164,23034,14955,2896,9796
Krystal Pittman,bakerbrittney,0,14307,15442,0,4794,5783
Kurt Dominguez,ingramcameron,0,0,4950,0,6794,4800
Kurt Huffman,lchavez,4546,1990,5140,9576,0,0
Kyle Anderson,anthonyhernandez,7743,10867,1849,8546,9270,3980
Kyle Booth,ellisonwendy,450,12988,5100,1990,14551,5696
Kyle Carey,stevenespinoza,6043,11196,4197,3897,12692,5693
Kyle Davila,jason94,11058,13409,5897,2600,0,0
Kyle Davis,abrown,7997,23267,4500,0,9793,1099
Kyle Fernandez,mooremark,0,5799,13954,0,13007,18451
Kyle Gonzalez,robertmcgee,0,0,0,0,11092,8296
Kyle Jenkins,gatesfrank,0,7783,17771,5448,150,3996
Kyle Jones,bbaker,8970,26343,0,6837,15381,12565
Kyle Kelly,osborndave,9977,0,0,10685,6497,0
Kyle Lee,frosario,3300,10717,15168,9394,6185,6470
Kyle Lewis,stephanierobbins,0,796,0,3196,0,6294
Kyle Martin,brittany60,4650,4496,5398,17485,14962,2500
Kyle Meyer,amandalawrence,1749,7991,4796,10556,2397,0
Kyle Morgan,paulbrandon,10146,4497,9179,6000,4495,5345
Kyle Murphy,andrea33,17166,13598,20779,3980,1500,11389
Kyle Nelson,gsingleton,0,10175,0,7598,23157,4650
Kyle Nguyen MD,adrian51,13954,0,6000,8560,13790,12580
Kyle Ortiz,jbrown,8193,2000,3199,0,7194,18075
Kyle Patton,rfreeman,10455,946,11110,0,3098,4598
Kyle Pena,rachel72,0,199,1699,5196,3698,0
Kyle Peterson,burkephyllis,0,0,8194,20774,0,8743
Kyle Ross PhD,rhill,2150,9568,15372,2750,17352,15763
Kyle Stevens,olivia15,3000,3898,5796,14457,6600,20118
Kyle Thomas,owilson,3846,0,24203,10176,0,7340
Kyle Walker,odonnellcurtis,3980,6799,1990,13330,9458,5391
Kyle Wallace,twise,9626,650,13448,8995,5893,4500
Kyle Williams,cquinn,17069,11791,18331,2795,15583,8565
Kylie Allen,zamoracynthia,23266,19214,1990,0,0,0
Kylie Hendricks,fwilliams,0,8694,0,20774,10280,10167
Lacey Jordan,omiller,17737,0,5196,9507,2397,450
Lance Knapp,aprilvazquez,9892,0,12500,9940,4237,6995
Lance Maldonado,andersonann,0,7891,0,12658,9294,15399
Lance Mccoy,thomas76,0,13614,5440,12702,30058,12364
Lance Taylor,jeanettedavis,24631,9396,1000,11377,2189,7960
Larry Alvarez,wallacedarius,11886,0,0,1300,1448,18371
Larry Carney,karen39,3289,11890,12480,10492,0,4598
Larry Hamilton,warnerdavid,0,0,3098,2195,4480,0
Larry Kim,oharris,6097,21356,0,0,0,12344
Larry Mccarty,tonya95,199,6098,0,8092,5697,1096
Larry Mejia,pennythomas,0,13763,0,4087,1598,8596
Larry Miller,michael92,0,21952,7960,11355,0,8392
Larry Morris,richardsjennifer,13666,0,4047,5794,2949,0
Larry Munoz,hannahlopez,1990,9696,12963,7990,12420,0
Larry Neal,wsmith,16522,8932,6692,4588,6300,450
Larry Rodriguez,astephens,1500,4198,12547,2299,3894,0
Larry Sexton,frankjohn,0,10295,10163,19264,24749,0
Larry Walters,nathan33,0,12289,10176,7397,0,5980
Latasha Garcia,daniellegarrett,4846,6000,0,13189,7295,0
Latasha Murphy,robertingram,6500,13476,4500,1698,4980,0
Latoya Collins,lopezerika,2949,6198,5970,6000,0,799
Latoya Henderson,kellyford,8988,2697,9542,10856,13060,17646
Latoya Jordan MD,knelson,0,1799,10495,9496,4000,0
Latoya Young,josephbrown,6500,14930,0,3997,14756,15548
Laura Abbott,owensjacob,19404,6484,13288,15955,13921,10193
Laura Adams,uoliver,0,10068,7191,14772,0,5995
Laura Allen,colleenwalker,15690,11266,199,15455,10496,0
Laura Barajas,devonbrown,4500,1246,16255,5096,9098,7629
Laura Boyd,gmorgan,14306,0,8119,11895,0,0
Laura Brown,rebecca23,0,22765,12022,6696,0,20465
Laura Caldwell,dominicmiller,5088,5992,0,19902,2897,9377
Laura Carter,melindacain,4500,11795,9891,17563,0,8980
Laura Collins,eric15,15445,18957,0,2000,0,6490
Laura Colon,ubrown,8293,9747,22861,1500,3980,12694
Laura David,townsendjulie,12255,0,22224,0,6567,8299
Laura Forbes,monicabrown,8291,4094,10560,10260,1598,1299
Laura Frey,paul43,0,5992,2596,15973,8796,15528
Laura Gordon,mercedes78,796,2000,5095,4645,1797,20636
Laura Hardy,wrightmichael,1299,6518,796,5898,1097,10789
Laura Harmon,pachecojavier,3450,17406,18338,6000,9610,8000
Laura Hurst,davismichael,10847,0,0,8246,19355,0
Laura Kim,lindsay36,5799,13404,0,2397,11970,3394
Laura King,jonesthomas,0,13615,5177,1844,18892,7676
Laura Lawrence,diane91,16470,6420,18271,1950,9936,1500
Laura Lawson,brianadams,13863,4295,2498,11397,15656,4280
Laura Long,edwardnguyen,450,3140,4992,15058,5000,16950
Laura Luna,singletonmatthew,2548,12043,0,6891,18755,0
Laura Lynch,jonesdaniel,12943,796,14745,2000,5397,2149
Laura Morgan,olivia12,14794,0,20573,4738,0,6384
Laura Peterson,gardnerlauren,9683,4997,29549,11729,14456,8960
Laura Powell,wchapman,0,0,0,14257,0,7576
Laura Ramirez,davisalan,10479,0,2297,0,1598,0
Laura Ray,baldwinrobert,2297,16953,10987,20302,13656,11067
Laura Richardson,iware,398,1500,9068,5897,0,7544
Laura Rodriguez,spitts,11666,18060,0,2786,14857,2599
Laura Savage,joyce55,7950,0,1500,2598,3199,0
Laura Short,gordonjamie,10663,500,4577,5186,7318,4297
Laura Tanner,jeannguyen,450,5990,2247,13955,8872,15254
Laura Thompson,epatel,11609,7817,7266,2598,0,0
Laura Thornton,popematthew,0,6797,11367,2296,1249,0
Laura Warner,fchavez,13968,0,2749,18516,11867,12481
Laura Wells,beth12,0,0,849,199,9620,0
Laura White DDS,vaughntyler,9895,23857,4485,11257,3000,16392
Laura Wilkerson,deannachurch,0,0,5542,6196,0,13903
Laura Williams,colleenzimmerman,7145,27259,4094,0,0,12094
Laura Williams,ybarber,12028,6619,3548,0,10326,799
Laura Wilson,sheilabenson,2095,10176,3790,14656,199,0
Laura Young,markwallace,14196,5584,21000,450,7647,1396
Lauren Bolton,cynthianelson,6490,7241,5875,7186,0,0
Lauren Burns,josephglenn,796,19167,6393,0,12093,1598
Lauren Collins,theresawilkinson,0,600,0,6744,0,199
Lauren Curry,karen00,0,5598,0,0,3450,19121
Lauren Garcia,dawnwood,3398,0,8975,0,3394,2097
Lauren Gill,brianmartin,0,10594,10626,3748,5396,11297
Lauren Guzman,shannonmercer,18857,12433,14305,6270,4289,2598
Lauren Harris,christopher93,747,16216,7384,5495,0,3980
Lauren Henry,powerskathleen,0,7980,0,0,2045,11450
Lauren Jacobs,ericwolfe,0,0,0,18753,11492,0
Lauren Jordan,timothyhiggins,12900,0,3196,0,600,0
Lauren Kelly,jasonmelton,20402,14554,18717,6195,4196,14965
Lauren Leon,pruittjose,1949,11809,0,0,0,0
Lauren Madden,bchan,0,3496,6144,0,0,5480
Lauren Mosley,ujohnson,26390,1896,11177,1299,9271,17184
Lauren Riddle,gabrielleking,13243,349,16164,3897,600,17659
Lauren Roberts,tanyascott,6368,14129,6249,1500,0,3790
Lauren Sanders,kylegraham,5296,6595,5696,16555,3488,5878
Lauren Serrano,smartinez,9691,18534,0,6769,8176,5429
Lauren Smith,allen33,36876,0,25762,15195,0,10336
Lauren Strickland,xwhite,26375,9219,1799,0,8910,796
Lauren Webster,dennisodom,6943,0,3940,6000,3897,19686
Lauren Wilson,woodsdominic,3488,6120,7192,0,1990,600
Lauren Wood,hickmandale,3196,300,4500,11739,5196,16755
Lauren Wood,jessicaclark,4498,8246,8630,12264,16251,10568
Laurie Boyd,williamsjessica,3500,6442,0,4693,23148,5195
Laurie Ford,dvasquez,2000,13378,3248,3298,7964,9992
Laurie French,stephanie44,3940,7970,8394,0,0,8159
Laurie Jimenez,robersontaylor,3196,12995,7434,1150,0,13256
Laurie Johnson,chavezjennifer,14263,5679,10640,14054,450,0
Laurie Nelson,fjones,8220,11300,12295,20053,15341,0
Laurie Schneider,zmartin,12445,0,10746,12599,0,9693
Laurie Schultz,amymartin,11093,7592,2398,8696,11754,1047
Lawrence Fernandez,thomaswilliams,14787,0,12582,8794,17405,11709
Lawrence Fuller,nramsey,9078,12792,0,0,5930,2100
Lawrence Harding DDS,sheilasnyder,1699,597,0,0,9892,2500
Lawrence Jones,ilane,15933,0,5697,0,13555,4590
Lawrence Rodriguez,patrickryan,23957,11641,11675,11903,7960,6980
Lawrence Ryan,kellymark,5100,8593,0,0,0,3000
Lawrence Soto,hdavis,6300,6000,9476,10598,14977,0
Lawrence Strickland,wendygilmore,15465,19032,8678,13213,3897,10396
Lawrence Young,autumnbowen,9962,8548,10743,2698,14391,13512
Leah Allen,nguyenoscar,8392,16550,6196,799,1500,12219
Leah Campbell,johnsonjesse,7492,5500,0,8377,4898,5590
Leah Carter,gomezsherry,8595,0,0,0,16924,300
Leah Conner,rschneider,597,2048,4500,6779,0,19970
Leah Douglas,zmack,0,4592,5294,0,5790,7093
Leah Fischer,brian51,20827,13891,7398,9788,5897,9397
Leah Holmes,kstanton,11955,0,1450,0,7970,0
Leah Leon,luisnelson,0,9548,0,2548,0,747
Leah Long,stevensmatthew,7949,16563,2748,10357,6394,2698
Leah Martin,fitzpatrickscott,0,6797,1299,4696,0,14065
Leah Miller,eandrews,17014,7777,796,0,7789,5346
Leah Molina,elizabeth68,8076,6470,16661,900,848,16192
Leah Phillips,bensondouglas,0,12454,2495,15962,500,22067
Leah Thompson,ramosmegan,3990,0,10696,1796,2397,8767
Lee Freeman,joe68,0,0,0,9686,7092,0
Lee Jones,ccarroll,2940,0,0,0,14915,0
Lee Kennedy,dhines,12450,0,11430,19855,1848,0
Lee Mccoy,bradygeorge,2388,0,1500,11769,13791,18774
Lee Mosley,sarah27,0,0,0,2388,2994,150
Lee Page,jonathan94,16872,7694,15713,2495,12460,4598
Leonard Barber,ricardosmith,0,5342,3000,1000,0,16577
Leroy Harris PhD,framirez,0,5696,9657,8784,23133,0
Leslie Alvarez,whitevanessa,0,0,0,4500,0,1197
Leslie Campbell,kellilambert,13485,2097,150,12816,1000,0
Leslie Fisher,keithcarroll,0,2500,9291,5196,10858,7098
Leslie Garcia,qvaughan,1050,15563,0,16586,20596,2097
Leslie Grant,fisherronald,11437,1600,5195,6575,4190,12858
Leslie Johnson,amberharper,14005,10306,11896,7996,13340,3799
Leslie Jones,qfritz,16166,3897,9950,11439,8849,2697
Leslie Lam,jorge46,2596,7675,0,0,8897,11795
Leslie Mayer,alexandria27,13882,3300,15986,12976,2849,14966
Leslie Murray,edwardsjohn,10357,7042,13276,9166,13838,7769
Leslie Pruitt,ojones,9683,29846,7130,6480,1598,8899
Leslie Reese,jessicahamilton,3395,16811,4479,20263,9079,16369
Leslie Reyes,pollardlinda,18494,1650,10196,0,6744,12189
Leslie Schaefer,barry39,1996,20117,600,2799,13113,8394
Leslie Sims,williamrosales,4644,25518,4489,600,2095,10900
Leslie Wagner,bpratt,150,4497,4500,8795,0,0
Levi Reyes,villegasbrandon,16958,2490,2000,300,10842,4495
Linda Bailey,daniel12,6470,21862,2098,5876,3997,2796
Linda Brown,johnsondanielle,450,14656,0,5227,22777,12692
Linda Case,logan45,4289,5998,1299,3549,0,0
Linda Cooley,taustin,0,8042,20214,13220,1499,11679
Linda Cox,icarrillo,9478,7492,4500,8345,0,0
Linda Gonzalez,mckinneydavid,1697,3598,6199,597,8799,0
Linda Hall,angela78,0,300,15871,600,9922,199
Linda Kelley,dawnhanson,6741,2998,13493,11591,14963,23851
Linda Lewis,barnettcarrie,18308,4047,12857,20054,2597,4090
Linda Lowery,codygay,3897,14295,0,2097,450,0
Linda Stewart,dlewis,0,5949,0,0,7393,16367
Linda Sutton,ganderson,0,0,1799,0,2796,17639
Linda Welch,larsonteresa,7047,12691,7950,20635,24395,4289
Linda Williams,daniellemathews,15394,4929,2949,5679,14954,19123
Lindsay Alexander,ztrujillo,799,12083,11681,9182,16046,6347
Lindsay Blevins,lauramurphy,6299,4090,10167,0,5895,17693
Lindsay Campbell,atkinsdaniel,7960,7569,5596,0,9760,6984
Lindsay Guerrero,ann06,3598,0,12696,4544,11966,2547
Lindsay Hodges,suzanne20,9789,14753,8759,6548,0,8493
Lindsay Levine,kmeyer,4893,0,15355,13218,18335,19877
Lindsay Santana,crawfordmelissa,2598,8192,28324,8879,2596,8566
Lindsay Schmidt,dterry,2699,4598,500,1697,0,5028
Lindsay Weaver,mpeck,11607,7578,20875,398,7150,9547
Lindsey Bowman,hguzman,16890,3000,9289,9974,4897,0
Lindsey Coleman,wilsonmary,6388,26317,12656,6749,3597,2396
Lindsey Daugherty,jose25,17063,12571,3292,0,2397,5970
Lindsey French,hawkinsdeanna,12366,1990,8756,1500,8900,0
Lindsey Garcia,sandersdavid,9715,0,3888,15869,15295,7079
Lindsey Gonzales,gonzalezstacey,0,7491,3897,0,17139,2000
Lindsey Jackson,dcummings,7098,19170,0,4500,20205,597
Lindsey Lewis,elizabethmartin,0,11269,3295,7387,898,0
Lindsey Mack,shelly96,10388,25378,4098,0,17302,5186
Lindsey Martinez,gregoryolson,16559,12914,20402,0,8393,23678
Lindsey Mcintyre,hornemelissa,6098,11995,9337,19055,5194,7743
Lindsey Parsons,moorebrian,11438,18756,26711,0,2000,9910
Lindsey Perez,zachary68,3000,10542,4387,5597,0,12975
Lindsey Sexton,richardcrawford,0,7997,6694,11847,10430,2000
Lindsey Shepherd,molinacarly,16557,12890,16610,3990,5995,0
Lindsey Walker,ramoskelly,0,15233,0,5196,12319,8881
Lindsey Wilkins,ethan36,1096,8194,19414,11744,3796,0
Lindsey Wilson,scombs,0,8479,9430,16188,0,597
Lindsey Wright,james85,10116,450,5327,13666,0,5970
Lisa Austin,lisa61,8196,0,0,0,0,4744
Lisa Barton,stevenphelps,14594,21323,8196,18679,10708,4044
Lisa Brandt,kjones,15676,3446,1597,9766,3100,5547
Lisa Brooks,greerjoseph,7285,10129,7548,15544,13192,4950
Lisa Brown,bkelly,0,0,21096,5598,0,0
Lisa Brown,robertlyons,25842,0,0,10848,0,7784
Lisa Bush,anthony96,5290,0,0,15044,11889,5245
Lisa Cabrera,johnmorales,3897,2296,0,4196,11913,24923
Lisa Clarke,bosborne,0,12378,4696,1500,0,0
Lisa Collins,christopher84,18904,9346,0,0,6766,799
Lisa Conley,dcline,0,25076,3193,0,17069,9087
Lisa Cooper,janicewade,13109,0,8748,10923,8496,0
Lisa Cross,qwilliams,12176,9466,19362,6000,8997,0
Lisa Cruz,michealsampson,0,747,0,0,0,6346
Lisa Cunningham,ecalderon,6098,14857,15272,9688,0,8269
Lisa Davidson,qcarter,18052,3000,9358,15717,150,13057
Lisa Dennis,ebowman,17197,3000,0,0,11177,0
Lisa Garcia,elaine84,0,600,0,0,0,1598
Lisa Gomez,youngtyler,4085,6134,5987,10296,16590,10366
Lisa Gray,bryantluke,23148,8917,3297,5970,0,5795
Lisa Green,brucewelch,11491,199,6500,0,0,17655
Lisa Green,jamesmills,11593,3196,12097,0,5145,5793
Lisa Greer,michellecollins,0,6795,5498,3787,1697,17448
Lisa Hall,chavezoscar,2598,8094,17749,2000,15460,747
Lisa Hardin,ann32,20857,12105,12385,9641,10094,6548
Lisa Harris,zweber,11397,4395,7569,3196,0,3786
Lisa Harvey,rturner,22899,22962,0,13269,0,2695
Lisa Hernandez,smithsean,11495,8960,0,10676,9676,12191
Lisa Jackson,wesley07,9398,2197,16332,7500,20288,7392
Lisa Jenkins,davidoliver,7191,5994,11785,6000,13100,27149
Lisa Jenkins,icopeland,12589,17504,3996,11196,2599,5837
Lisa Johnson,fmiller,9676,0,7118,0,0,0
Lisa Johnson,jaredmason,17083,6769,6094,0,9495,20034
Lisa Johnston,william28,8195,5685,0,9788,6800,4280
Lisa Jones,masonamanda,9460,8337,4179,0,12084,2195
Lisa Jordan,hudsonaaron,0,0,18553,8391,8693,10556
Lisa Juarez,kimberlypalmer,0,0,1300,0,0,18657
Lisa Lang,ybutler,1000,9847,799,5291,2996,18348
Lisa Leach,morenokristina,17648,0,0,11279,4897,0
Lisa Lee,aburnett,0,23862,300,10694,1799,3098
Lisa Lee,daniellehernandez,13599,0,7960,7794,12855,2397
Lisa Long,rthompson,4098,7175,18698,7093,3645,14687
Lisa Lopez,ramirezchristopher,6846,17857,0,4947,0,1595
Lisa Malone,abentley,5685,1699,3897,13193,3397,4699
Lisa Martin,rbrewer,12240,9527,0,650,2299,0
Lisa Mason,wpoole,7391,18915,2597,12395,11059,5896
Lisa Mcdaniel,kellyowens,0,14352,1990,23918,12195,1299
Lisa Mendez,stephanie97,5030,5480,12987,9683,3594,8979
Lisa Monroe,vhernandez,150,7595,21746,500,8389,13440
Lisa Moore,gilbert65,16583,6490,0,0,2296,0
Lisa Morrison,aaron64,796,14456,15257,20724,12600,3549
Lisa Mueller,gomezanthony,10464,18151,0,15657,3897,398
Lisa Nelson,lisarodriguez,6184,11081,0,2397,9288,22189
Lisa Olson,rebeccaanderson,0,17325,2048,5598,14612,8593
Lisa Ortiz,corylynn,3196,10470,3980,20430,11130,2149
Lisa Owen,charlesbennett,6897,9785,15213,9692,20586,11391
Lisa Pacheco,bentleyjacob,1000,3398,24641,7100,17053,0
Lisa Palmer,connernathan,2990,7544,0,0,13485,21104
Lisa Payne,msingh,5547,4197,9316,0,0,0
Lisa Porter,xrose,9578,0,0,0,0,8044
Lisa Powell,osuarez,0,3300,7596,15088,18044,10094
Lisa Richardson,jlong,10388,2048,18995,15894,8836,0
Lisa Rivera DDS,cwebb,13704,3897,9859,0,0,2296
Lisa Robinson,bridgeskimberly,8045,4995,5970,0,9616,9650
Lisa Smith,zachary69,8960,15263,9595,0,8774,0
Lisa Snow,tkelly,13867,0,16312,7593,12110,0
Lisa Soto,tmcintyre,1299,2598,3000,0,0,6270
Lisa Sullivan,riverasamantha,796,0,0,22281,0,10492
Lisa Taylor,rhawkins,3591,0,7970,5196,0,4148
Lisa Thomas,christina18,12294,5980,0,0,3394,9474
Lisa Tran,laurenmcmillan,7944,6000,450,0,9273,8218
Lisa Wallace,robert23,7960,19163,5598,4945,15459,10910
Lisa Walters,mitchelltaylor,10609,6747,0,6896,10274,6196
Lisa Ward,foxpatrick,15593,3197,10857,12543,10395,0
Lisa Watson,amandacook,0,2397,6420,3195,5878,12026
Lisa Werner,cramos,12258,3980,2797,0,0,0
Lisa Wilcox,kconley,0,12184,7146,0,0,0
Lisa Williams,gonzalezchristopher,3797,14193,5395,0,5196,5799
Lisa Williams,jason42,4992,29026,0,10557,0,32617
Lisa Williams,marvinhoward,12287,13080,0,0,9057,0
Lisa Wood,sharon12,6292,8260,5896,4500,5892,0
Logan Burgess,jamie86,10135,4197,6000,10867,5490,4196
Logan Castillo,alvarezheather,0,0,17171,9476,0,12146
Logan Ford,meganbarber,4926,9176,7696,7693,10592,0
Logan Gray,zjohnson,5596,600,0,9380,0,12380
Logan Mack,tanneramy,12294,0,9544,6696,16266,3346
Logan Reed,bryankyle,0,9157,8557,0,11085,13847
Loretta Singh,kwilson,14626,4776,3193,6097,0,9688
Loretta Valdez,robertsondiana,10274,6677,4849,18742,0,0
Loretta Wu,rosarioscott,3397,300,0,14027,4047,3196
Lori Anderson,aaronfisher,0,16357,1000,9576,0,5195
Lori Baker,nicole39,12376,4179,22022,5799,8047,12079
Lori Blake,john76,11262,4197,0,500,17320,13693
Lori Bond,brenda16,20439,6445,8380,12460,796,6779
Lori Bowers,destinyserrano,10696,0,8776,13570,949,20646
Lori Bradshaw,cynthia76,0,12578,8198,16073,0,9566
Lori Brown,chardin,4397,0,2000,3980,6500,33399
Lori Brown MD,ronaldjohnson,7693,0,9197,6567,6093,13894
Lori Burns,jonesmichael,199,7748,7090,0,4694,9186
Lori Cox,oanderson,4994,8146,848,0,699,2650
Lori Cruz,olsonbrenda,14559,11356,0,0,13794,0
Lori Cruz,rachel84,0,4779,398,4598,2899,2598
Lori Doyle,xmccoy,15102,17283,0,7476,11984,18054
Lori Dudley,kevinsullivan,0,3897,5500,5397,13066,799
Lori Duncan,brendabrown,19704,3745,24000,9863,19010,6635
Lori Garcia,ereid,17595,1600,3294,4833,6293,9528
Lori Gutierrez,benjamin95,15166,0,7300,3598,0,0
Lori Hansen,josephmoore,0,4500,15316,6770,0,0
Lori Henderson,shawanthony,14770,5095,15169,0,11908,0
Lori Hendrix,johnny58,9341,4843,2394,2898,23281,398
Lori Jackson,mathewjensen,18154,3048,18106,15563,5949,14557
Lori Keith,brooke27,4090,0,10500,6485,12367,0
Lori Lang,walkergregory,24144,18373,10496,5186,13192,13397
Lori Little,mathewsnancy,8388,9796,2887,4993,5579,19049
Lori Martinez,rodneyramirez,0,0,4993,9790,8092,7596
Lori Melendez,hallcourtney,1800,15477,16593,11960,12115,1598
Lori Miller,pvillarreal,0,1199,16874,0,11639,17362
Lori Perez,ronaldjenkins,0,9558,0,7578,4694,9766
Lori Peterson,mortonmichael,0,12357,17077,5177,0,300
Lori Santos,michaelscott,9239,2450,16532,398,300,0
Lori Shaw,seth98,1347,8494,8397,5578,15259,12496
Lori Walker,ascott,3980,10687,15996,0,16135,0
Lori Whitehead,theresa05,18390,7920,0,0,796,19815
Lori Wu,michaellopez,26603,0,6796,6766,6594,0
Lori York,julie12,6990,4248,0,3796,23065,5982
Lorraine Dennis,antonio07,10614,6000,1946,23282,0,16510
Lorraine Lane,heatherjackson,0,13066,12861,11161,0,4588
Louis Freeman,iharris,6537,0,199,4299,8410,1398
Louis Lloyd,espinozaalexander,9659,6000,0,9409,0,17307
Louis Lopez,phillip68,3649,6578,0,13753,9858,10093
Louis Osborn,pjohnson,0,11994,17259,10384,0,26947
Louis Ramirez,danachen,1650,9529,7093,150,11796,22903
Louis Ross,hwilliams,1497,7960,6088,3980,0,0
Louis Schmidt,elizabethchang,12282,0,0,17558,7565,8098
Louis Thomas,leslieblackburn,597,15602,7078,0,1699,7269
Louis Walker,tylernathaniel,0,4398,3897,3196,9739,4397
Lucas Kennedy,umack,9475,2339,450,6597,4500,0
Lucas Price,melissajackson,19541,4393,9500,13452,9710,5346
Luis Bass,uramirez,0,5100,0,14882,13988,8470
Luis Campbell,davisdavid,8236,15482,0,22967,0,12273
Luis Edwards,josekim,0,5378,3598,11038,5196,7889
Luis Ellis,mooreleslie,18979,35518,9492,10580,13691,18132
Luis Garcia,valerie25,10136,0,16587,10024,11702,12991
Luis Moore,joneskelly,9593,4696,2397,10092,0,13985
Luis Olson,upearson,0,16747,10993,18394,3980,20053
Luis Rivera,rhodesvictoria,0,9445,8896,7397,7995,17852
Luis Smith,castillopamela,8299,11349,2597,0,12662,0
Luke Gonzalez,carolchavez,13596,19204,1990,26555,0,0
Luke Hunt,kevinhopkins,7328,0,8067,8397,18040,0
Luke Kim,stricklandsamantha,16373,0,0,0,4500,2397
Luke Martin,zlam,0,11996,21348,14982,0,0
Luke Murphy,jeffrey33,0,24038,9997,0,597,18520
Luke Reyes,ryanmoore,0,4148,8634,0,0,16291
Luke Roberts,jasonjohnson,16279,150,1650,9663,9126,17544
Luke Rodriguez,michelle69,12972,14286,13997,5878,0,8781
Luke Strong,allenjohn,13756,11436,0,13259,0,8516
Lydia Barnett,stacyhoward,8787,16930,1097,0,0,6567
Lydia Dixon,fostersamantha,6796,0,0,2500,0,0
Lydia Edwards,kylejordan,5393,15240,16593,4939,4644,11177
Lynn Brown,obriggs,0,4844,4396,799,8440,0
Lynn Callahan,patriciasullivan,3098,17251,1598,12664,9191,0
Lynn Cross,jade22,3846,0,17637,0,4146,0
Lynn Hopkins,dakota74,2247,898,7480,7727,0,0
Lynn Parker MD,sydneymyers,9395,11698,24947,8292,3946,25751
Lynn Robertson,wgarcia,12863,6800,0,8955,7279,597
Lynn Turner,bryanjimenez,1598,10592,8470,14182,0,3046
Mackenzie Harrison,edwardsmith,600,0,12238,0,2838,11106
Mackenzie Hodges,lindseyhaney,4289,11197,14156,17692,3695,5094
Mackenzie Little,smithbrittney,0,0,16714,7391,11257,26595
Mackenzie Moreno,dtaylor,6899,0,25567,21716,1296,6588
Mackenzie Richard,renee04,4897,18133,7196,0,8896,7645
Mackenzie Taylor,roger93,30066,15895,0,7366,9372,8236
Madeline Bridges,joeljames,8092,4789,0,12769,4347,3193
Madeline Gibson,kwood,2397,10605,8168,0,7793,4039
Madeline Gonzalez,bfry,0,0,9956,15362,3797,10171
Madeline Martinez,reevesdavid,16355,0,0,12558,5996,8492
Madeline Oconnor,powellkatie,3646,8190,15951,11945,22628,6199
